author_display,title,id,author_id
"Petöfi, Sándor",The Song of the Dogs ,text01347,pers00118
"Grillparzer, Franz",Field-marshal Radetzky ,text01435,pers00272
"Wordsworth, William","The Prelude [Book X. ‘Residence in France and French Revolution’, ll. 24-82 (‘Sleep No More’: Paris, Oct. 1792)]",text00298,pers00006
"Musset, Alfred de",Sorrow ,text01179,pers00113
"Crabbe, George",Procrastination ,text00267,pers00044
"Bjørnson, Bjørnstjerne",[National Anthem] ,text00501,pers00729
"Estévez García del Canto, Josefa",The Wife ,text00515,pers00352
"Shelley, Percy Bysshe","Peter Bell the Third [Part IV, ll. 1-65]",text00273,pers00014
"Hugo, Victor",Stella ,text01145,pers00064
"Sainte-Beuve, Charles-Augustin",Sonnet. To Ronsard.,text01151,pers00122
"Burns, Robert",Ae Fond Kiss ,text00313,pers00002
"Campoamor, Ramón de",Mi vida ,text00475,pers00339
"Martínez de la Rosa y Berdejo, Francisco de Paula",Solitude [excerpt],text00461,pers00721
"Southey, Robert","The Vision of Judgment [St. 15-17, 23-28, 30-32, 36-39, 47-49, 52, 57-58, 66-69, 85-87, 94-95, 97-106]",text00307,pers00008
"Brentano, Clemens",Cradle Song ,text01019,pers00078
"Uhland, Ludwig",Faith in Springtime ,text01031,pers00388
"Leopardi, Giacomo",The infinite ,text00449,pers00106
"Günderode, Karoline von",Bright Red ,text01025,pers00097
"Schlegel, Karl Wilhelm Friedrich",The Thicket ,text00878,pers00124
"Lazarus, Emma",Echoes ,text00850,pers00610
"Poe, Edgar Allan",The Raven ,text00688,pers00119
"Dickinson, Emily","[1593 ""There came a Wind like a Bugle —""] ",text00844,pers00523
"Poe, Edgar Allan",To Science ,text00677,pers00119
"Blake, William",Infant Joy ,text00111,pers00009
"Blake, William",Song (‘How sweet I roamed’),text00105,pers00009
"Longfellow, Henry Wadsworth",The Wreck of the Hesperus ,text00663,pers00205
"Bécquer, Gustavo Adolfo",Rima I ,text01233,pers00150
"Campbell, Thomas",Written on Visiting a Scene in Argyleshire ,text00139,pers00007
"Günderode, Karoline von",The Balloonist ,text00887,pers00097
"Emerson, Ralph Waldo",Bacchus ,text00649,pers00092
"Brentano, Clemens",Serenade ,text00885,pers00078
"Blake, William",Laughing Song ,text00113,pers00009
"Whittier, John Greenleaf",What the Birds Said ,text00675,pers00590
"Hawthorne, Nathaniel","Oh, Man can seek the downward glance... ",text00661,pers00275
"Burns, Robert",The Banks o’ Doon ,text00107,pers00002
"Leopardi, Giacomo","To Spring, or, Concerning the Ancient Myths ",text01219,pers00106
"Lazarus, Emma",1492 ,text00852,pers00610
"Dickinson, Emily","[1732 ""My life closed twice before its close —""] ",text00846,pers00523
"Uhland, Ludwig",Bertran de Born ,text01033,pers00388
"Chamisso, Adelbert von",Lord Byron’s Last Love ,text01027,pers00389
"Byron, George Gordon, Lord",Stanzas to Augusta ,text00339,pers00012
"Coronado, Carolina",Oh How I Adore You! ,text00477,pers00084
"Blake, William",I Love the Jocund Dance ,text00311,pers00009
"Shelley, Percy Bysshe",The Mask of Anarchy ,text00305,pers00014
"Martínez de la Rosa y Berdejo, Francisco de Paula",My Suffering ,text00463,pers00721
"Blake, William",An Island in the Moon [Song XII. Village Cricket],text00259,pers00009
"Hugo, Victor",The Expiation I.,text01147,pers00064
"Sainte-Beuve, Charles-Augustin",The Circle ,text01153,pers00122
"Mickiewicz, Adam",Konrad Wallenrod [‘Song of the Wajdelota’ (excerpt)],text00503,pers00110
"Frere, John Hookham / Canning, George","The Rovers [Act I, scene 2]",text00265,"pers00046,pers00047"
"Frere, John Hookham","Whistlecraft [Canto III, st. 1 – 7, 15 – 19]",text00271,pers00046
"Gallego, Juan Nicasio",On My Return to Zamora in 1807 ,text00517,pers00353
"Petöfi, Sándor",Homer and Ossian ,text01345,pers00118
"Kollár, Ján",The Daughter of Sláva [excerpts],text01423,pers00468
"Thoreau, Henry David",Rumors from an Aeolian Harp ,text00729,pers00597
"Bialik, Hayyim Nachman",The Mathmid ,text01437,pers00678
"Petöfi, Sándor",The skylark sings ... ,text01351,pers00118
"Cowper, William","The Task [Book IV, ll. 267 – 332: ‘The Winter Evening’]",text00067,pers00023
"Hooper, Ellen Sturgis",Better a sin which purposed wrong to none... ,text00701,pers00594
"Very, Jones",The Created ,text00715,pers00596
"Wordsworth, William","Lines Written a Few Miles above Tintern Abbey, On Revisiting the Banks of the Wye during A Tour, July 13, 1798.",text00073,pers00006
"Shelley, Percy Bysshe",Hymn to Intellectual Beauty ,text00098,pers00014
"Tagore, Rabindranath","Song Unsung Gitanjali, 13",text01386,pers00842
"Karadžic, Vuk",A Poem for the Goddess Her City & the Marriage of Her Son & Daughter ,text01392,pers00847
"Pushkin, Alexander",I loved you ... ,text00933,pers00120
"Keats, John",Ode to Psyche ,text00099,pers00013
"Tastu, Amable",To Mr. Victor Hugo ,text00927,pers00126
"Very, Jones",Thy Brother's Blood ,text00714,pers00596
"Coleridge, Samuel Taylor",The Nightingale ,text00072,pers00004
"Barbauld, Anna Laetitia",A Summer’s Evening’s Meditation ,text00066,pers00026
"Hayati Kermani, Bibi",Is it the Night of Power ... ,text01378,pers00840
"Hooper, Ellen Sturgis","Heart, heart, lie still... ",text00700,pers00594
"Thoreau, Henry David",The Inward Morning ,text00728,pers00597
"Baudelaire, Charles",The Albatross ,text01191,pers00057
"Gautier, Théophile",Art ,text01185,pers00062
"Hogg, James",Isabelle [Ll. 1-40],text00270,pers00015
"Wordsworth, William",We Are Seven ,text00264,pers00006
"Blake, William","An Island in the Moon [Song VI. Lo, the Bat]",text00258,pers00009
"Oehlenschläger, Adam Gottlob",The Golden Horns ,text00489,pers00216
"Byron, George Gordon, Lord",Napoleon’s Farewell ,text00304,pers00012
"Norton, Caroline Elizabeth Sarah",A Voice from the Factories [St. 34 – 48],text00310,pers00020
"Byron, George Gordon, Lord",Stanzas to Augusta ,text00338,pers00012
"Menken, Adah Isaacs",Judith ,text00847,pers00609
"Lazarus, Emma",The New Colossus ,text00853,pers00610
"Hawthorne, Nathaniel",The Ocean ,text00660,pers00275
"Burns, Robert",Song (‘It was upon a Lammas Night’),text00106,pers00002
"Blake, William",The Echoing Green ,text00112,pers00009
"Whittier, John Greenleaf",Barbara Frietchie ,text00674,pers00590
"Gómez de Avellaneda, Gertrudis",To Him ,text01224,pers00146
"Coronado, Carolina",Sunflower ,text01230,pers00084
"Emerson, Ralph Waldo",Merlin II ,text00648,pers00092
"Desbordes-Valmore, Marceline",The Roses of Saadi ,text00890,pers00513
"Longfellow, Henry Wadsworth",The Bells of San Blas ,text00670,pers00205
"Blake, William",The Lamb ,text00116,pers00009
